Model,GOF Precision,LOF Precision,Neutral Precision,GOF Recall,LOF Recall,Neutral Recall,Neutral MCC,GOF MCC,LOF MCC,GOF F1,LOF F1,Neutral F1
233,0.53,0.9,0.92,0.76,0.87,0.91,0.8455,0.6072,0.7776,0.62,0.88,0.92
234,0.54,0.9,0.93,0.77,0.87,0.91,0.8484,0.6206,0.7811,0.63,0.88,0.92
235,0.53,0.9,0.93,0.76,0.87,0.91,0.8512,0.612,0.7825,0.63,0.88,0.92
236,0.53,0.9,0.93,0.76,0.87,0.91,0.8476,0.6072,0.7782,0.62,0.88,0.92
237,0.54,0.9,0.93,0.76,0.87,0.91,0.8505,0.6212,0.786,0.64,0.89,0.92
238,0.54,0.9,0.93,0.77,0.87,0.91,0.8476,0.6222,0.7825,0.64,0.88,0.92
239,0.54,0.9,0.93,0.76,0.87,0.91,0.8483,0.6136,0.7846,0.63,0.88,0.92
240,0.53,0.9,0.93,0.76,0.87,0.91,0.8505,0.6131,0.7825,0.63,0.88,0.92
241,0.54,0.9,0.93,0.76,0.87,0.91,0.8498,0.6179,0.7825,0.63,0.88,0.92
242,0.54,0.9,0.93,0.76,0.87,0.91,0.8505,0.6179,0.7832,0.63,0.88,0.92
243,0.54,0.9,0.93,0.76,0.87,0.91,0.8498,0.6163,0.7832,0.63,0.88,0.92
244,0.54,0.9,0.93,0.76,0.87,0.91,0.8491,0.6179,0.7832,0.63,0.88,0.92
245,0.53,0.9,0.93,0.77,0.87,0.91,0.8491,0.6173,0.7818,0.63,0.88,0.92
246,0.55,0.9,0.93,0.76,0.87,0.91,0.8462,0.6203,0.781,0.64,0.88,0.92
247,0.53,0.9,0.93,0.75,0.87,0.91,0.8498,0.6045,0.7804,0.62,0.88,0.92
248,0.54,0.89,0.93,0.75,0.87,0.91,0.8469,0.611,0.7803,0.63,0.88,0.92
249,0.53,0.9,0.93,0.76,0.87,0.91,0.849,0.6072,0.7797,0.62,0.88,0.92
250,0.53,0.9,0.93,0.76,0.87,0.91,0.8484,0.6147,0.7797,0.63,0.88,0.92
251,0.53,0.9,0.93,0.76,0.87,0.91,0.8484,0.6072,0.7789,0.62,0.88,0.92
252,0.54,0.9,0.93,0.75,0.87,0.91,0.8491,0.6093,0.7818,0.62,0.88,0.92
